id,is_male,is_white,is_police_officer,age,resignation_date,complaint_risk,civilian_allegation_risk,current_salary,major_award_count,in_district,in_district_total_population,in_district_black_proportion,in_district_allegation_count,in_district_police_population,in_district_misconduct_rate,in_district_police_white,in_district_police_female
28722,0,1,1,43,,0,0,90024,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
28695,1,1,1,45,,0,0,84054,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
25291,1,0,1,44,,0,0,84054,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
23125,1,0,1,43,,1,2,87006,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
4864,1,1,0,52,,1,1,121464,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
5652,1,1,0,52,,1,1,125190,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
21477,1,1,1,44,,1,1,84054,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
28499,0,0,1,54,,1,1,87006,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
25915,1,0,1,51,,1,1,87006,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
17623,1,0,1,39,,1,1,80016,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
42,1,1,1,55,,1,1,90024,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
16267,1,1,1,51,,1,1,93354,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
16152,1,0,1,51,,1,1,90024,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
15115,1,1,1,45,,1,2,90024,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
15926,1,1,1,60,,1,1,96060,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
21208,1,1,1,57,,1,1,87006,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
17572,1,0,1,43,,1,1,84054,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
17236,1,1,0,47,,1,1,87006,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
5321,1,1,1,57,,1,1,93354,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
1989,1,1,1,44,,1,2,87006,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
13898,1,0,1,40,,0,0,84054,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
15695,1,0,0,51,,1,1,104628,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
23703,1,0,0,56,,1,2,107988,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
21351,0,1,1,45,,1,1,87006,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
6547,1,0,1,44,,1,1,87006,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
26455,1,1,1,53,,1,1,96060,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
22270,1,0,1,49,,1,1,90024,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
9773,1,0,0,56,,1,2,107988,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
8537,1,1,0,56,,1,1,107988,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
4588,0,1,0,49,,1,1,107988,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
31502,1,0,1,38,,1,1,80016,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
52,1,0,1,50,,1,1,90024,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
5434,0,0,1,56,,1,1,90024,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
23189,1,0,1,41,,0,0,80016,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
484,1,0,1,45,,1,1,84054,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
15421,1,1,1,44,,1,1,87006,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
27262,1,1,1,54,,1,2,90024,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
14972,0,1,1,62,,1,1,90024,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
19740,1,1,1,53,,1,1,93354,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
27426,1,0,1,65,,1,1,86130,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
22921,1,1,0,44,,1,1,90024,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
28601,1,1,1,59,,1,1,93354,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
10863,1,1,1,53,,1,1,90024,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
2165,1,1,1,61,,1,1,96060,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
31460,0,1,0,45,,1,1,104628,1,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
28060,1,1,0,65,,1,1,125190,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
29933,1,1,1,45,,1,1,90024,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
5003,1,0,1,41,,1,1,87006,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
4799,0,0,1,56,,1,1,87006,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
13010,1,0,1,46,,1,2,87006,1,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
6133,1,1,1,60,,1,1,90024,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
6933,1,0,1,57,,1,2,,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
12118,0,1,1,43,,1,1,90024,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
4997,1,1,1,43,,0,0,84054,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
23202,1,0,1,58,,1,2,93354,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
7702,0,1,1,48,,0,1,87006,1,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
7797,1,1,1,57,,1,1,93354,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
23945,1,1,1,56,,1,1,90024,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
6665,1,0,0,58,,1,1,107988,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
2219,1,1,0,45,,1,1,87006,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
25889,1,1,1,43,,1,1,87006,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
6986,1,1,1,51,,1,1,90024,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
7237,1,1,1,51,,1,1,87006,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
13520,1,1,1,47,,1,1,84054,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
23734,1,1,1,59,,1,2,90024,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
27261,1,1,0,52,,1,1,107988,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
26957,1,1,0,55,,1,1,98052,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
13437,1,0,0,40,,0,0,84054,1,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
6463,1,0,0,52,,1,1,107988,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
13293,1,1,1,45,,1,1,84054,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
7944,1,0,1,52,,1,1,90024,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
5038,1,1,1,55,,1,1,93354,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
24840,1,1,1,48,,1,1,90024,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
25263,1,1,0,41,,1,1,87006,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
29521,1,1,1,41,,1,1,87006,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
7631,1,1,1,61,,1,1,96060,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
24291,0,1,1,40,,1,0,84054,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
31263,1,1,1,47,,1,1,90024,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
20028,0,1,1,45,,1,1,90024,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
24019,1,1,1,34,,0,0,80016,1,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
23838,1,1,1,46,,1,1,84054,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
7522,0,1,1,45,,1,1,90024,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
14814,1,1,1,56,,1,1,90024,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
22659,0,1,1,50,,1,1,90024,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
8789,1,0,1,43,,1,1,87006,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
15401,1,1,1,64,,1,1,93354,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
7559,0,0,1,58,,0,1,93354,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
8923,1,1,1,59,,1,1,93354,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
20469,1,1,1,57,,1,1,93354,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
4066,0,0,1,47,,1,1,90024,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
9907,0,1,1,40,,1,1,87006,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
10509,1,1,1,68,,1,1,93354,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
4863,0,1,1,51,,1,1,93354,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
30933,0,1,1,56,,1,2,93354,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
10931,1,0,1,46,,1,1,84054,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
25619,0,1,1,56,,1,1,96060,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
12968,1,1,1,54,,1,1,90024,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
13284,1,1,1,40,,1,1,87006,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
26236,1,1,1,59,,1,1,90024,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
